ticker,exchange,assetType,priceCurrency,startDate,endDate
TETZF,PINK,Stock,USD,2010-04-05,2017-09-18
TEU,OTCMKTS,Stock,USD,2011-04-14,2015-11-17
TEU1,NYSE,Stock,USD,,
TEUCF,PINK,Stock,USD,2015-11-18,2020-06-24
TEUFF,PINK,Stock,USD,2015-11-18,2020-06-29
TEUGX,NMFQS,Mutual Fund,USD,,
TEUIX,NMFQS,Mutual Fund,USD,2017-06-12,2020-06-29
TEUKF,OTCGREY,Stock,USD,2014-05-09,2018-08-29
TEUM,NASDAQ,Stock,USD,2001-01-02,2020-06-29
TEUPX,NMFQS,Mutual Fund,USD,,
TEURX,NMFQS,Mutual Fund,USD,1997-01-02,2020-06-29
TEUTF,OTCGREY,Stock,USD,2007-07-17,2020-06-29
TEUUF,OTCMKTS,ETF,USD,2017-11-20,2019-09-03
TEUZF,OTCMKTS,Stock,USD,2017-10-17,2018-01-09
TEVA,NYSE,Stock,USD,1990-03-26,2020-06-29
TEVBX,NMFQS,Mutual Fund,USD,2015-01-02,2016-06-06
TEVCX,NMFQS,Mutual Fund,USD,2001-03-15,2016-06-17
TEVE,PINK,Stock,USD,1995-02-01,2018-01-26
TEVFX,NMFQS,Mutual Fund,USD,2001-03-15,2016-06-17
TEVIX,NMFQS,Mutual Fund,USD,2008-01-02,2020-06-29
TEVJF,PINK,Stock,USD,2017-08-25,2020-06-29
TEVVF,PINK,Stock,USD,2016-01-04,2018-12-14
TEWCX,NMFQS,Mutual Fund,USD,2016-01-04,2020-06-29
TEWTX,NMFQS,Mutual Fund,USD,1996-01-02,2020-06-29
TEX,NYSE,Stock,USD,1990-03-26,2020-06-29
TEXC,PINK,Stock,USD,2014-08-18,2020-06-24
TEXCX,NMFQS,Mutual Fund,USD,2013-09-17,2017-01-23
TEXG,PINK,Stock,USD,2007-09-18,2020-06-29
TEXM,NASDAQ,Stock,USD,,
TEXP,NASDAQ,Stock,USD,,
TEXQ,NASDAQ,Stock,USD,,
TEXQD,PINK,Stock,USD,2013-05-29,2018-10-19
TEXS,PINK,Stock,USD,1994-10-31,2017-06-12
TEXX,PINK,Stock,USD,2009-10-30,2017-07-14
TEZAX,NMFQS,Mutual Fund,USD,2019-12-31,2020-06-29
TEZCX,NMFQS,Mutual Fund,USD,2019-12-31,2020-06-29
TEZIX,NMFQS,Mutual Fund,USD,2019-12-31,2020-06-29
TEZNY,PINK,Stock,USD,2011-09-06,2020-06-29
TFAAX,NMFQS,Mutual Fund,USD,,
TFACX,NMFQS,Mutual Fund,USD,,
TFADX,NMFQS,Mutual Fund,USD,2020-05-18,2020-06-29
TFAEX,NMFQS,Mutual Fund,USD,2019-06-14,2020-06-29
TFAFX,NMFQS,Mutual Fund,USD,2019-06-14,2020-06-29
TFAIX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-29
TFALX,NMFQS,Mutual Fund,USD,2019-06-14,2020-06-29
TFAMX,NMFQS,Mutual Fund,USD,2019-06-14,2020-06-29
TFAOF,OTCGREY,Stock,USD,2007-07-18,2020-06-29
TFAQX,NMFQS,Mutual Fund,USD,2020-05-18,2020-06-29
TFAUX,NMFQS,Mutual Fund,USD,2019-06-14,2020-06-29
TFAZX,NMFQS,Mutual Fund,USD,2019-06-14,2020-06-29
